Epoch,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.6896302103996277,0.8333949446678162,1.0610870122909546,0.46715980768203735
2,0.8095545172691345,0.8483361005783081,0.5554496049880981,0.4181097149848938
3,0.8255388736724854,0.8514739274978638,0.496294766664505,0.4037908911705017
4,0.8336256146430969,0.8554370403289795,0.46715041995048523,0.38744935393333435
5,0.8386461734771729,0.8586178421974182,0.4494718909263611,0.3809274733066559
6,0.8423614501953125,0.859537661075592,0.43608784675598145,0.37672626972198486
7,0.8457099199295044,0.8629935383796692,0.4240688383579254,0.3677208423614502
8,0.84859699010849,0.8631483316421509,0.41527244448661804,0.3651326298713684
9,0.850430965423584,0.8651255369186401,0.4090660810470581,0.36113235354423523
10,0.852131724357605,0.8659508228302002,0.40265241265296936,0.3574502766132355
11,0.8533008694648743,0.8659164309501648,0.3979203402996063,0.35637596249580383
12,0.8547365665435791,0.8645151853561401,0.3921535313129425,0.35676515102386475
13,0.8558111786842346,0.865211546421051,0.3900883197784424,0.3575931191444397
14,0.8569774627685547,0.8616610765457153,0.3858568072319031,0.3640207350254059
15,0.8580033779144287,0.8612140417098999,0.38205525279045105,0.3618065118789673
16,0.8586624264717102,0.8652201294898987,0.38068461418151855,0.35336044430732727
17,0.8592498898506165,0.8677733540534973,0.3776358664035797,0.34953925013542175
18,0.8598603010177612,0.8673177361488342,0.37559449672698975,0.3494919240474701
19,0.8603044152259827,0.8687877655029297,0.3735906183719635,0.34649384021759033
20,0.8610294461250305,0.8626152873039246,0.37188106775283813,0.3593510687351227
